numero_dpe;nom_methode_dpe;date_etablissement_dpe;consommation_energie;classe_consommation_energie;estimation_ges;classe_estimation_ges;secteur_activite;annee_construction;surface_habitable;tv016_departement_id;commune;nom_rue;numero_rue;batiment;escalier;etage;porte;code_postal;numero_lot;etat_avancement;organisme_certificateur;adresse_organisme_certificateur;longitude;latitude;geo_adresse;tr013_type_erp_type;tv017_zone_hiver_code
1394V4000014K;FACTURE - DPE;15/05/2013;563.69;F;18.35;C;;1974;\N;94;SAINT-MANDE;5 BIS RUE FAYS;;;;;;94160;;1;DEKRA;5 AV GARLANDE 92220  BAGNEUX;2.418477;48.847033;5bis Rue Fays 94160 Saint-Mandé;;H1
1375C1000001B;3CL - DPE;17/05/2013;1057.48;G;85.8;G;Commerce;1890;0.00;75;PARIS;Mozart;108;;;RDC;;75016;;1;GINGER CATED;12 avenue Gay Lussac 78990 ELANCOURT;2.267017;48.850668;108 Avenue Mozart 75016 Paris;M : Magasins de vente, centres commerciaux;H1
1392V4000032I;FACTURE;22/05/2013;673.63;F;11.35;B;\N;1987;31979.20;92;PUTEAUX;10-12 Cours Michelet;\N;\N;\N;\N;\N;92030;;1;ICERT;Parc Edonia, Bât G, Rue de la terre Victoria, 35760 Saint-Grégoire;2.246855;48.887909;12 Cours Michelet 92800 Puteaux;;H1
1377V8000001L;FACTURE;26/05/2013;980.4;G;31.92;D;\N;1900;33.00;77;MEAUX;54, rue du Faubourg Saint Nicolas 2, Place du Temple;\N;\N;\N;\N;\N;77100;;1;Bureau Veritas Certification;60, Avenue du Général de Gaulle 92046 PARIS LA DEFENSE;;;;M : Magasins de vente, centres commerciaux;H1
1375V3000003G;FACTURE - DPE;28/05/2013;2007.07;G;65.35;E;PHARMACIE;1948;\N;75;PARIS;René Coty;15;;;;;75014;;1;BUREAU VERITAS;60 avenue du Général de Gaulle 92046 PARIS LA DEFENSE;2.334069;48.830482;15 Avenue René Coty 75014 Paris;;H1
1391V8000002I;FACTURE - DPE;15/05/2013;914.14;G;100.95;G;Restaurant;2000;\N;91;YERRES;102 RUE PIERRE BROSSOLETTE;;;;;;91330;;1;DEKRA CERTIFICATION SAS;5 avenue Garlande 92220 Bagneux;2.484055;48.700862;102 Rue Pierre Brossolette 91330 Yerres;;H1
1393V8000002K;Méthode Facture;30/05/2013;484;F;15;C;Autres (théâtres, salles de sport, restaurati;1947;99.00;93;COUBRON;9/13 rue de la Dhuys;;;;;;93470;;1;;;;;;;H1
1375V8000005N;3CL - DPE;29/05/2013;1068.99;G;87.16;F;Local commercial;1850;0.00;75;PARIS - 4EME;12 RUE PECQUAY;\N;\N;\N;\N;\N;75004;NC;1;SOCOTEC;3 avneue de Centre - Guyancourt CS 20732  78182  SAINT QUENTIN EN YVELINES;2.35622;48.86013;12 Rue Pecquay 75004 Paris;N : Restaurants et débits de boisson;H1
1393V7000003K;Méthode Facture;01/06/2013;1764;G;57;E;Autres (théâtres, salles de sport, restaurati;1947;76.73;93;SEVRAN;50 AVENUE JOHN FITZGERALD KENNEDY;;;;;;93270;Sans objet;1;C115 QUALIXPERT 17 RUE BORREL 81100 CASTRES;17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11);2.4225561;48.9403824;Avenue John Fitzgerald Kennedy (Pont) Le Bourget;;H1
1375V8000006O;FACTURE;03/06/2013;484.97;F;106.71;G;\N;1910;200.31;75;PARIS;29, boulevard de Grenelle et sans numéro, rue Saint Saëns;\N;\N;\N;\N;\N;75015;;1;DEKRA;5, avenue Garlande 92220 BAGNEUX;;;;M : Magasins de vente, centres commerciaux;H1
1375V8000007P;Méthode Facture;03/06/2013;1253;G;44;D;Autres (théâtres, salles de sport, restaurati;1;519.20;75;PARIS;30 AVENUE PIERRE MENDES FRANCE;;;;;;75013;Sans objet;1;10-42 DELIVRE PAR ABCIDIA;4 route de la Noue 91190 GIF SUR YVETTE (détail sur www.cofrac.fr programme n°4-4-11);2.425245;48.932028;Avenue Francis de Pressensé 93350 Le Bourget;;H1
1377XX000001A;3CL - DPE;31/05/2013;918.16;G;29.89;D;Commerce;2002;0.00;77;DAMMARIE-LES-LYS;Avenue du Colonel Fabien;444;\N;\N;\N;\N;77190;NC;1;ICERT;;2.64685;48.524287;Avenue du Colonel Fabien 77190 Dammarie-les-Lys;;H1
1375V8000010J;Méthode Facture;04/06/2013;1207;G;42;D;Autres (théâtres, salles de sport, restaurati;1;270.60;75;PARIS;30 AVENUE PIERRE MENDES FRANCE;;;;;;75013;Sans objet;1;10-42 DELIVRE PAR ABCIDIA;4 route de la Noue 91190 GIF SUR YVETTE (détail sur www.cofrac.fr programme n°4-4-11);2.425245;48.932028;Avenue Francis de Pressensé 93350 Le Bourget;;H1
1392V8000008P;Méthode Facture;04/06/2013;625;G;20;C;Autres (théâtres, salles de sport, restaurati;1947;54.82;92;BOURG LA REINE;106 ave du Gal LECLERC;;;;;;92340;;1;;;;;;;H1
1375XX000003A;3CL - DPE;05/06/2013;1498.83;G;48.8;C;Commerce;1930;0.00;75;PARIS - 14EME;l'Amiral Mouchez;78;;Sans objet;RDC;Sans objet;75014;NC;1;AFNOR Certification;11 Rue Francis de Pressensé 93571 SAINT-DENIS CEDEX;2.342539;48.821168;78 Rue de l'Amiral Mouchez 75014 Paris;N : Restaurants et débits de boisson;H1
1393V4000015K;FACTURE;05/06/2013;560.45;F;9.29;B;\N;2003;19140.00;93;ST-OUEN-CEDEX;Eurosquare 2;\N;\N;\N;\N;\N;93400;;1;ICERT;n/c;;;;;H1
1392V4000058Q;FACTURE;05/06/2013;605.88;F;36.37;D;\N;1972;48950.00;92;LA-DEFENSE-CEDEX;Europlaza;\N;\N;\N;\N;\N;92927;;1;ICERT;n/c;;;;;H1
1377V4000013K;Méthode Facture;06/06/2013;939;G;30;C;Bureau, Administration, Enseignement;1;2453.00;77;MAREUIL-LÈS-MEAUX;6 Avenue Fridingen;;;Ce bien ne fait pas partie d'une copropriété;;;77100;;1;Bureau Véritas Certification;Le Guillaumet 92046 PARIS LA DEFENSE CEDEX (détail sur www.cofrac.fr programme n°4-4-11);;;;;H1
1375V3000006J;3CL - DPE;07/06/2013;696;F;23;C;Habitation (parties privatives d immeuble col;1974;75.00;75;PARIS;d Assas;16;\N;\N;Rez de chaussee;\N;75006;\N;1;DEKRA CERTIFICATION DE PERSONNES S.A.S.;ADRESSE ORGANISME CERTIFICATEUR;2.3285;48.849156;16 Rue d'Assas 75006 Paris;;H1
1392V4000074O;FACTURE - DPE;07/06/2013;662.2;F;21.56;C;bureaux;1948;30.00;92;ASNIERES SUR SEINE;66 RUE DES BOURGUIGNONS;;;;;;92600;;1;Bureau Veritas Certification;5 CHEMIN DU JUBIN BAT C - 80220 DARDILLY CEDEX;2.275786;48.915543;Rue des Bourguignons 92270 Bois-Colombes;;H1
1393V7000005M;Méthode Facture;09/06/2013;1543;G;50;E;Autres (théâtres, salles de sport, restaurati;1947;125.40;93;BAGNOLET;197, rue Robespierre;;;;;;93170;;1;;;;;;;H1
1395V8000004O;FACTURE;10/06/2013;979.69;G;31.89;D;\N;1900;77.00;95;ENNERY;24, rue du Moutier;\N;\N;\N;\N;\N;95300;;1;ICERT;Beauchamp;2.105676;49.076503;24 Rue du Moutier 95300 Ennery;M : Magasins de vente, centres commerciaux;H1
1393V7000008P;FACTURE - DPE;10/06/2013;432.52;F;38.64;D;Commerce;2005;9801.00;93;SAINT-OUEN;Victot Hugo;89;;;;;93400;;1;Socotec Certification;les Quadrants - 3 av du centre - Guyancourt CS20732 78182 Saint Quentin en Yvelines Cedex;2.327186;48.907681;89 Boulevard Victor Hugo 93400 Saint-Ouen-sur-Seine;;H1
1375V3000011F;3CL - DPE;11/06/2013;972;G;32;D;Habitation (parties privatives d immeuble col;1974;79.00;75;PARIS;Saint-Michel;63;\N;\N;Rez de chaussee;\N;75005;\N;1;DEKRA CERTIFICATION DE PERSONNES S.A.S.;ADRESSE ORGANISME CERTIFICATEUR;2.341177;48.847504;63 Boulevard Saint-Michel 75005 Paris;;H1
1375L2000290M;FACTURE;11/06/2013;563.13;F;24.63;C;\N;1920;159.50;75;PARIS;41 rue Réaumur;\N;\N;\N;\N;\N;75003;;1;AFAQ;11 rue Francis de Pressensé 93571 La Plaine Saint Denis Cedex;2.35419;48.865771;41 Rue Réaumur 75003 Paris;;H1
1394V8000007Q;Méthode Facture;11/06/2013;439;F;102;G;Autres (théâtres, salles de sport, restaurati;1947;101.86;94;SAINT MAUR DES FOSSES;60 boulevard de Créteil;;;rdc;;;94100;;1;QUALIXPERT;17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11);;;;;H1
1375V8000013M;Méthode Facture;11/06/2013;409;F;13;C;Autres (théâtres, salles de sport, restaurati;1947;43.22;75;PARIS 14;202, Av du Maine;;;Local commercial sur rue;;;75014;5 - 30 (cave);1;Bureau Veritas;Le Guillaumet 92046 PARIS LA DEFENSE CEDEX (détail sur www.cofrac.fr programme n°4-4-11);2.316068;48.782646;Rue du 8 Mai 1945 92340 Bourg-la-Reine;;H1
1392V4000087S;FACTURE;11/06/2013;558.08;F;52.64;D;\N;2008;77000.00;92;COURBEVOIE;1 Place Samuel de Champlain;\N;\N;\N;\N;\N;92400;;1;ICERT;n/c;2.239661;48.89559;1 Place Samuel de Champlain 92400 Courbevoie;;H1
1375V7000004L;Méthode Facture;12/06/2013;394;F;12;C;Autres (théâtres, salles de sport, restaurati;1947;152.35;75;PARIS;3-5-7 Rue Saint Augustin;;;Rez-de-Chaussée;;;75002;;1;CESI Certification;30 rue Cambronne 75015 PARIS (détail sur www.cofrac.fr programme n°4-4-11);2.293875;48.751269;7 Rue des Augustins 92160 Antony;;H1
1395V4000036P;FACTURE - DPE;12/06/2013;1397.98;G;77.14;E;LOCAL COMMERCIAL;1948;80.67;95;ARNOUVILLE;Jean Jaurès;158/160;;;;;95400;;1;BUREAU VERITAS;60 avenue du général de Gaulle 92046 PARIS-LA DEFENSE CEDEX;2.419447;48.98606;160 Rue Jean Jaurès 95400 Arnouville;;H1
1375I2000006E;Méthode Facture;12/06/2013;496;G;116;G;\N;1;59.71;75;PARIS;36, avenue Reille;;;3 ème étage - batiment C -;;;75014;appart. lot 421 - Cave lot 408 - Garage lot 3;1;Bureau Veritas 41 Chemin des Peupliers BP 58 69573 DARDILLY Cedex;Le Guillaumet 92046 PARIS LA DEFENSE CEDEX (détail sur www.cofrac.fr programme n°4-4-11);2.322992;48.784712;36 Avenue de Bellevue 92340 Bourg-la-Reine;;H1
1377V3000004J;3CL - DPE;10/06/2013;720.37;F;23.45;C;Bureaux;1995;0.00;77;CHARTRETTES;avenue Galliéni;39;\N;\N;\N;\N;77590;NC;1;ICERT;;2.688128;48.476342;39 Avenue Galliéni 77590 Bois-le-Roi;;H1
1391C2000002B;Méthode Facture;13/06/2013;464;G;15;B;Centres Commerciaux;1;165.00;91;STE GENEVIEVE DES BOIS;12, route de Corbeil;;;;;;91700;;1;;;;;;;H1
1375C2000005G;Méthode Facture;13/06/2013;737;G;24;C;Centres Commerciaux;1947;29.70;75;PARIS 08;15, Boulevard des Batignoles;;;"Bat. rue; Etage RDC; Porte Rue";;;75008;1/ sous-sol 52;1;Bureau Veritas;Le Guillaumet 92046 PARIS LA DEFENSE CEDEX (détail sur www.cofrac.fr programme n°4-4-11);2.446726;48.906762;15 Boulevard Maurice Thorez 93000 Bobigny;;H1
1392V8000012K;3CL - DPE;12/05/2013;1341.86;G;123.12;G;Commerce;1930;0.00;92;NEUILLY-SUR-SEINE;Charles de Gaulle;142;\N;\N;Rez de chaussée;\N;92200;NC;1;Ginger Cated;;2.264048;48.88397;142 Avenue Charles de Gaulle 92200 Neuilly-sur-Seine;N : Restaurants et débits de boisson;H1
1375V4000137P;FACTURE - DPE;13/06/2013;1053.5;G;34.3;D;Boutique;1948;120.00;75;PARIS;41 RUE DES FRANCS BOURGEOIS;;;;;;75004;;1;Bureau Veritas Certification;5 CHEMIN DU JUBIN BAT C - 80220 DARDILLY CEDEX;2.359938;48.857977;41 Rue des Francs Bourgeois 75004 Paris;;H1
1393V8000005N;Méthode Facture;13/06/2013;608;G;65;E;Autres (théâtres, salles de sport, restaurati;1947;77.00;93;LES LILAS;49, Bd de la Liberté;;;;;;93260;;1;;;;;;;H1
1391V8000005L;Méthode Facture;13/06/2013;1097;G;83;F;Autres (théâtres, salles de sport, restaurati;1947;100.54;91;VIGNEUX-SUR-SEINE;2bis, rue Salengro;;;;;;91270;Non communiqué;1;Bureau Veritas Certification;Le Guillaumet 92046 PARIS LA DEFENSE CEDEX (détail sur www.cofrac.fr programme n°4-4-11);;;;;H1
1375V8000018R;FACTURE - DPE;13/06/2013;838.5;G;27.3;D;Commerce;1948;120.00;75;PARIS;41 RUE DES FRANCS BOURGEOIS;;;;;;75004;;1;Bureau Veritas Certification;5 CHEMIN DU JUBIN BAT C - 80220 DARDILLY CEDEX;2.359938;48.857977;41 Rue des Francs Bourgeois 75004 Paris;;H1
1375V4000145O;FACTURE;14/06/2013;586.97;F;19.11;C;\N;1970;88.00;75;PARIS;38 rue du Surmelin;\N;\N;\N;\N;\N;75020;;1;DEKRA;n/c;2.404629;48.868635;38 Rue du Surmelin 75020 Paris;;H1
1378V7000002M;FACTURE SEULE;07/06/2013;465.47;F;48.61;E;\N;1970;100.00;78;RAMBOUILLET;Auguste Moutié, Centre Commercial La Louvière;8;\N;\N;\N;\N;78120;\N;1;SOCOTEC Certification;Les Quadrants - 3 av. du Centre;1.839404;48.644252;8 Rue Auguste Moutie 78120 Rambouillet;;H1
1393V4000036N;Méthode Facture;14/06/2013;566;F;85;E;Bureau, Administration, Enseignement;1947;159.50;93;MONTREUIL;253 AVENUE ARISTIDE BRIAND;;;;;;93100;Sans objet;1;10-42 DELIVRE PAR ABCIDIA;4 route de la Noue 91190 GIF SUR YVETTE (détail sur www.cofrac.fr programme n°4-4-11);-0.6183276;45.7455438;Avenue Aristide Briand (Pont) Saintes;;H1
1392V3000011E;3CL - DPE;15/06/2013;1201;G;39;D;Habitation (parties privatives d immeuble col;2001;0.00;92;LE PLESSIS ROBINSON;Charles de Gaulle;58;\N;\N;Rez de chaussee;\N;92350;01;1;DEKRA CERTIFICATION;5 AVENUE GARLANDE 92220 BAGNEUX;2.258246;48.777616;58 Avenue Charles de Gaulle 92350 Le Plessis-Robinson;N : Restaurants et débits de boisson;H1
1393XX000003A;3CL - DPE;15/06/2013;488.5;F;15.9;C;Commerce;1970;0.00;93;Montreuil;de Chanzy;2;\N;\N;Rez de chaussée;\N;93100;NC;1;Abcidia certification;4 route de la Noue 91190 Gif-sur-Yvette;2.436327;48.85818;2 Boulevard de Chanzy 93100 Montreuil;M : Magasins de vente, centres commerciaux;H1
1375V8000023N;FACTURE;17/06/2013;386.31;F;12.57;C;\N;1900;37.40;75;PARIS;69 rue du Chemin Vert;\N;\N;\N;\N;\N;75011;;1;Afnor;11 rue Francis de Pressensé 93571;2.378043;48.860179;69 Rue du Chemin Vert 75011 Paris;M : Magasins de vente, centres commerciaux;H1
1375V4000154O;FACTURE - DPE;17/06/2013;585.31;F;19.06;C;bureaux;1948;\N;75;PARIS;28 RUE CAUMARTIN;;;;;;75009;;1;CPDI 2307;35760 Saint-Grégoire;;;;;H1
1394L2000066O;FACTURE;18/06/2013;924.49;G;30.09;D;\N;1900;27.91;94;ARCUEIL;20 avenue Laplace;\N;\N;\N;\N;\N;94110;Nc;1;AFAQ;11 rue Francis de Pressensé 93571 La Plaine Saint Denis;2.334539;48.807569;20 Avenue Laplace 94110 Arcueil;;H1
1393V3000006J;Méthode Facture;18/06/2013;852;G;27;C;Bureau, Administration, Enseignement;1;275.00;93;SAINT-OUEN;3, Rue Jean Martin;;;1er Etage;;;93400;0003;1;Bureau Véritas;Le Guillaumet 92046 PARIS LA DEFENSE CEDEX (détail sur www.cofrac.fr programme n°4-4-11);;;;;H1
1395V8000005P;Méthode Facture;17/06/2013;814;G;57;E;Autres (théâtres, salles de sport, restaurati;1947;110.00;95;L'ISLE-ADAM;71 rue de Pontoise;;;local commercial en RDC d'un immeuble;;;95290;Non communiqué;1;Bureau VERITAS;Le Guillaumet 92046 PARIS LA DEFENSE CEDEX (détail sur www.cofrac.fr programme n°4-4-11);1.9617458;49.0076213;Rue de Pontoise Vaux-sur-Seine;;H1
1375V8000025P;3CL - DPE;18/06/2013;672.7;G;21.9;C;Commerce;1947;0.00;75;PARIS - 19EME;de Belleville;93;;;RDC;;75019;NC;1;ABCIDIA CERTIFICATION;4 route de la Noue 91190 GIF SUR YVETTE;2.38536;48.874027;93 Rue de Belleville 75019 Paris;;H1
1378V4000039T;FACTURE;18/06/2013;1994.2;G;70.27;E;\N;1970;160.60;78;VERSAILLES;16 boulevard de la Reine;\N;\N;\N;\N;\N;78000;18;1;AFAQ;11 rue Francis de Pressensé 93571 La Plaine Saint Denis;2.125959;48.809344;16 Boulevard de la Reine 78000 Versailles;W : Administrations, banques, bureaux;H1
1375V7000008P;Méthode Facture;18/06/2013;767;G;24;C;Autres (théâtres, salles de sport, restaurati;1947;35.20;75;PARIS;124 rue Legendre;;;Local commercial sur rue;;;75017;;1;CATED;;2.497409;48.814387;124 Rue de Verdun 94500 Champigny-sur-Marne;;H1
1375V8000026Q;Méthode Facture;18/06/2013;739;G;24;C;Autres (théâtres, salles de sport, restaurati;1947;37.24;75;PARIS;22 RUE SURCOUF;;;;;;75007;Non communiqué(s);1;N°869 PAR GINGER CATED;12 avenue Gay Lussac ZAC LA CLEF ST PIERRE 78990 ELANCOURT (détail sur www.cofrac.fr programme n°4-4-11);2.308385;48.798995;22 Rue Marc Sangnier 92220 Bagneux;;H1
1391V4000037M;FACTURE;19/06/2013;624.72;F;20.34;C;\N;1970;77.00;91;ÉVRY;24 cours Blaise Pascal;\N;\N;\N;\N;\N;91000;74/75;1;AFAQ;11 rue Francis de Pressensé 93571 La Plaine Saint Denis;2.430378;48.626966;24 Cours Blaise Pascal 91000 Évry-Courcouronnes;M : Magasins de vente, centres commerciaux;H1
1375V4000167S;FACTURE - DPE;19/06/2013;613.63;F;19.98;C;bureaux;1948;\N;75;PARIS;Basfroi;4;;;;;75011;;1;Bureau VERITAS;60, avenue du Général de Gaulle 92046 Paris La Défense;2.380285;48.853833;4 Rue Basfroi 75011 Paris;;H1
1375V7000009Q;3CL - DPE;19/06/2013;627.32;G;53.24;E;Commerce;1900;0.00;75;Paris - 1er;Danièle Casanova;11bis;\N;\N;Rez de chaussée;\N;75001;NC;1;GINGER CATED;12 avenue Gay-Lussac 78990 Elancourt;2.33271;48.867688;11 Rue Danielle Casanova 75001 Paris;N : Restaurants et débits de boisson;H1
1375L2000484R;FACTURE;19/06/2013;413.97;F;8.66;B;\N;1920;174.50;75;PARIS;49 rue Meslay;\N;\N;\N;\N;\N;75003;;1;AFAQ;11 rue Francis de Pressensé 93571 La Plaine Saint Denis Cedex;2.357759;48.868116;49 Rue Meslay 75003 Paris;;H1
1393V7000010I;FACTURE;19/06/2013;826.9;G;12.68;C;\N;1990;47.32;93;NOISY-LE-GRAND;100 rue Pierre Brossolette;\N;\N;\N;\N;\N;93160;;1;BUREAU VERITAS;n/c;2.54532;48.847399;100 Rue Pierre Brossolette 93160 Noisy-le-Grand;;H1
1375V4000168T;FACTURE;19/06/2013;573.05;F;99.35;E;\N;1966;292.60;75;PARIS;2 RUE L'HOMOND;\N;\N;\N;\N;\N;75005;;1;BUREAU VERITAS;n/c;2.29118;48.848829;2 Rue Fondary 75015 Paris;;H1
1375V8000027R;Méthode Facture;10/06/2013;456;F;14;C;Autres (théâtres, salles de sport, restaurati;1;522.50;75;PARIS;65, Quai de la Gare;;;RDC;;;75013;Non communiqué;1;LCC Qualixpert;17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11);2.435014;48.937072;Résidence du Gai Logis 93350 Le Bourget;M : Magasins de vente, centres commerciaux;H1
1375V8000028S;3CL - DPE;19/06/2013;450;F;15;C;Local commercial;1974;0.00;75;PARIS;CHEVERT;30;\N;\N;Rez de chaussee;sur rue;75007;2;1;SGS ICS;29 AVENUE ARISTIDE BRIAND 94211 ARCUEIL CEDEX;2.307794;48.854841;30 Rue Chevert 75007 Paris;;H1
1375V8000033O;Méthode Facture;12/06/2013;441;F;14;C;Autres (théâtres, salles de sport, restaurati;1947;225.50;75;PARIS;36-38 rue Emile Zola;;;RDC;;;75015;39 (local commercial);1;LCC Qualixpert;17 rue Borrel 81100 CASTRES (détail sur www.cofrac.fr programme n°4-4-11);;;;M : Magasins de vente, centres commerciaux;H1
1375V4000178U;FACTURE;20/06/2013;691.06;F;64.38;E;\N;1950;276.10;75;PARIS;3 rue Gramont;\N;\N;\N;\N;\N;75002;500;1;GINGER CATED;12 av Gay Lussac ZAC La Clef St Pierre 78990 ELANCOURT;2.33666;48.869275;3 Rue de Gramont 75002 Paris;W : Administrations, banques, bureaux;H1
1394V3000007L;FACTURE - DPE;20/06/2013;1089.29;G;36;D;bureaux;1974;2673.00;94;CRETEIL;de Plaisance;36;;;;;94000;;1;SQI;89 - 93 avenue Paul Vaillant Couturier 94250 GENTILLY;2.456718;48.799473;36 Rue de Plaisance 94000 Créteil;;H1
1375V8000035Q;FACTURE;20/06/2013;522.37;G;51.68;E;\N;1897;82.50;75;PARIS;1 place Léon Blum;\N;\N;\N;\N;\N;75011;2;1;Afnor;11 rue Francis de Pressensé 93571;2.379491;48.85761;1 Place Léon Blum 75011 Paris;M : Magasins de vente, centres commerciaux;H1
1375I2000011A;Méthode Facture;20/06/2013;346;F;81;G;\N;1947;35.00;75;PARIS;47, rue Daguerre;;;1 er étage gauche;;;75014;appartement lot 4 - cave lot 21;1;Bureau Veritas 41 Chemin des Peupliers BP 58 69573 DARDILLY Cedex;Le Guillaumet 92046 PARIS LA DEFENSE CEDEX (détail sur www.cofrac.fr programme n°4-4-11);2.321071;48.7807;47 Rue de la Bièvre 92340 Bourg-la-Reine;;H1
1392V8000020J;3CL - DPE;21/06/2013;845;G;28;D;Local commercial;1982;0.00;92;NEUILLY SUR SEINE;Achille Peretti;137;\N;\N;Rez de chaussee;sur rue;92200;02;1;SGS ICS;29 AVENUE ARISTIDE BRIAND 94211 ARCUEIL CEDEX;2.268577;48.884377;137 Avenue Achille Peretti 92200 Neuilly-sur-Seine;;H1
1375V8000040M;FACTURE;22/06/2013;836.5;G;27.23;D;\N;1900;75.42;75;PARIS;119 AVENUE DE VILLIERS;\N;\N;\N;\N;\N;75017;;1;ICERT;n/c;2.295056;48.885074;119 Avenue de Villiers 75017 Paris;;H1
1375V4000196U;facture;23/06/2013;816;G;38;D;Bureaux;1974;0.00;75;PARIS;du Faubourg Saint Honore;76;\N;\N;\N;\N;75008;0;1;BUREAU VERITAS;AVENUE DU GENERAL DE GAULLE 92046 PARIS LA DEFENSE;;;;;H1
1375V4000197V;facture;23/06/2013;816;G;38;D;Bureaux;1974;0.00;75;PARIS;du Faubourg Saint Honore;76;\N;\N;\N;\N;75008;0;1;BUREAU VERITAS;AVENUE DU GENERAL DE GAULLE 92046 PARIS LA DEFENSE;;;;;H1
1375V3000021G;FACTURE SEULE;18/06/2013;563.07;F;18.33;C;\N;1996;100.00;75;GENNEVILLIERS;du Moulin de Cage;116,;\N;\N;\N;\N;92230;\N;1;AFNOR Certification;11 rue Francis de Pressensé;2.313605;48.928464;116 Rue du Moulin de Cage 92230 Gennevilliers;;H1
